dataset,display,method,alpha,lambda_c,avg_epoch_time_sec_mean,avg_epoch_time_sec_std,total_training_time_sec_mean,total_training_time_sec_std,seeds,epochs
eurosat_msi,Contract-Priority,baseline_contract_priority,1.0,0.0,1.3473347528775534,0.00782949941663606,80.8400851726532,0.4697699649981633,5,60
eurosat_msi,Uniform-Contract,baseline_uniform_contract,1.0,0.0,1.352771597703298,0.008768502691801789,81.16629586219787,0.5261101615081143,5,60
eurosat_msi,OSAG-Mix (a=0.25),osag_priority_mix,0.25,0.0,1.3536500493685404,0.011187825738790333,81.21900296211243,0.6712695443274213,5,60
eurosat_msi,OSAG-Mix (a=0.50),osag_priority_mix,0.5,0.0,1.3547102236747741,0.010989232003644033,81.28261342048646,0.6593539202186391,5,60
eurosat_msi,OSAG,osag_priority,1.0,0.0,1.3584846099217731,0.00876316294997209,81.5090765953064,0.5257897769983315,5,60
eurosat_msi,Class-Balanced,baseline_class_balanced,1.0,0.0,1.3590106121699015,0.01066403637655873,81.5406367301941,0.6398421825935262,5,60
eurosat_msi,Random,baseline_random,1.0,0.0,1.3673988278706868,0.016586443356749078,82.0439296722412,0.9951866014049431,5,60
eurosat_msi,OSAG-Mix (a=0.75),osag_priority_mix,0.75,0.0,1.3686862699190776,0.01198670951885447,82.12117619514466,0.7192025711312638,5,60
eurosat_msi,OSAG-FairLoss (l=0.5),osag_priority_fairloss,1.0,0.5,1.462283813158671,0.02099282682634952,87.73702878952027,1.2595696095809694,5,60
eurosat_msi,OSAG-FairLoss (l=1.0),osag_priority_fairloss,1.0,1.0,1.4674333175023397,0.01178239019909051,88.04599905014038,0.7069434119454288,5,60
indian_salinas,Contract-Priority,baseline_contract_priority,1.0,0.0,2.9110195438067117,0.03433405491619316,174.6611726284027,2.0600432949715914,5,60
indian_salinas,Uniform-Contract,baseline_uniform_contract,1.0,0.0,2.923268067042033,0.030746812485874332,175.39608402252196,1.8448087491524612,5,60
indian_salinas,OSAG-Mix (a=0.25),osag_priority_mix,0.25,0.0,2.938000651995341,0.013902980799742974,176.28003911972047,0.8341788479845792,5,60
indian_salinas,OSAG,osag_priority,1.0,0.0,2.9380780458450317,0.03247020171793808,176.2846827507019,1.9482121030762798,5,60
indian_salinas,OSAG-Mix (a=0.75),osag_priority_mix,0.75,0.0,2.9388085174560548,0.025784476049230634,176.3285110473633,1.5470685629538428,5,60
indian_salinas,OSAG-Mix (a=0.50),osag_priority_mix,0.5,0.0,2.9543129738171894,0.004943393409100626,177.25877842903137,0.2966036045460439,5,60
indian_salinas,Class-Balanced,baseline_class_balanced,1.0,0.0,2.956754258473714,0.03672210623047987,177.40525550842284,2.2033263738288094,5,60
indian_salinas,OSAG-FairLoss (l=0.5),osag_priority_fairloss,1.0,0.5,3.035329359372457,0.021356243860634873,182.1197615623474,1.2813746316380907,5,60
indian_salinas,OSAG-FairLoss (l=1.0),osag_priority_fairloss,1.0,1.0,3.061975759665171,0.009828719258836247,183.71854557991028,0.589723155530174,5,60
indian_salinas,Random,baseline_random,1.0,0.0,3.5244351832071943,1.1704415160755886,211.46611099243165,70.22649096453532,5,60
